Format Version,1.24,Take Name,Take 2026-08-04 02.46.02 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-04 02.46.03.114 ,Capture Start Frame,583112,Total Frames in Take,6347,Total Exported Frames,6347,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113
,ID,,"E52E2D97900211F1794CD665D3A07481","E52E2D97900211F1794CD665D3A07481","E52E2D97900211F1794CD665D3A07481","E52E2D95900211F1794CD665D3A07481","E52E2D95900211F1794CD665D3A07481","E52E2D95900211F1794CD665D3A07481","E52E2D96900211F1794CD665D3A07481","E52E2D96900211F1794CD665D3A07481","E52E2D96900211F1794CD665D3A07481","571FB6146D28FE711F1","571FB6146D28FE711F1","571FB6146D28FE711F1"
,,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),TimeCode,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,14:47:09:09.01,-96.617683,302.190552,133.289444,-96.618629,309.066833,133.940628,-96.083229,304.399750,136.457993,,,
1,0.008333,14:47:09:09.02,-96.617966,302.190521,133.289902,-96.618805,309.066162,133.940994,-96.088966,304.396271,136.457245,,,
2,0.016667,14:47:09:09.03,-96.619812,302.189667,133.290283,-96.618362,309.066711,133.940704,-96.089378,304.395569,136.458313,,,
3,0.025000,14:47:09:10.00,-96.620506,302.190033,133.291382,-96.619621,309.065094,133.940414,-96.088966,304.395874,136.457687,,,
4,0.033333,14:47:09:10.01,-96.619263,302.190155,133.290131,-96.619835,309.066437,133.941193,-96.088074,304.395264,136.457596,,,
5,0.041667,14:47:09:10.02,-96.617256,302.190430,133.290085,-96.617317,309.066162,133.939255,-96.087891,304.396362,136.458054,,,
6,0.050000,14:47:09:10.03,-96.618256,302.189606,133.291046,-96.617706,309.065948,133.941849,-96.088394,304.395874,136.457794,,,
7,0.058333,14:47:09:11.00,-96.618439,302.190613,133.291550,-96.617935,309.065826,133.939301,-96.089005,304.395447,136.457413,,,
8,0.066667,14:47:09:11.01,-96.620323,302.189941,133.291428,-96.619102,309.066620,133.939972,-96.088310,304.396210,136.457687,,,
9,0.075000,14:47:09:11.02,-96.618370,302.190948,133.289642,-96.619789,309.066895,133.941147,-96.087791,304.396149,136.458664,,,
10,0.083333,14:47:09:11.03,-96.616638,302.189789,133.289841,-96.618362,309.067383,133.939865,-96.088295,304.395477,136.457230,,,
11,0.091667,14:47:09:12.00,-96.615273,302.190125,133.290070,-96.618469,309.066833,133.940933,-96.089012,304.395752,136.457230,,,
12,0.100000,14:47:09:12.01,-96.616394,302.190338,133.289307,-96.617371,309.066040,133.940903,-96.081581,304.400208,136.458115,,,
13,0.108333,14:47:09:12.02,-96.617317,302.190063,133.289581,-96.618721,309.067719,133.942184,-96.087440,304.397583,136.458389,,,
14,0.116667,14:47:09:12.03,-96.619835,302.191010,133.291611,-96.617104,309.066406,133.940796,-96.089546,304.396790,136.458298,,,
15,0.125000,14:47:09:13.00,-96.617699,302.190369,133.290390,-96.618568,309.066132,133.941467,-96.089615,304.395569,136.458282,,,
16,0.133333,14:47:09:13.01,-96.617821,302.189819,133.290527,-96.618744,309.066956,133.940857,-96.089005,304.395691,136.457916,,,
17,0.141667,14:47:09:13.02,-96.616608,302.189758,133.289261,-96.618286,309.065521,133.941025,-96.082680,304.401123,136.458984,,,
18,0.150000,14:47:09:13.03,-96.616478,302.190552,133.290237,-96.618240,309.065857,133.940521,-96.081177,304.400330,136.457962,,,
19,0.158333,14:47:09:14.00,-96.614845,302.191162,133.289261,-96.617279,309.065643,133.940048,-96.088394,304.397186,136.458069,,,
20,0.166667,14:47:09:14.01,-96.615349,302.191223,133.289993,-96.617249,309.066620,133.940979,-96.088913,304.395508,136.458450,,,
21,0.175000,14:47:09:14.02,-96.617218,302.191803,133.289215,-96.618759,309.066406,133.940536,-96.087967,304.396210,136.457657,,,
22,0.183333,14:47:09:14.03,-96.618263,302.189453,133.291153,-96.618515,309.065887,133.939529,-96.087929,304.395874,136.457397,,,
23,0.191667,14:47:09:15.00,-96.617363,302.190155,133.289459,-96.619240,309.065948,133.940536,-96.088448,304.396545,136.457718,,,
24,0.200000,14:47:09:15.01,-96.616646,302.189362,133.290466,-96.618149,309.065430,133.941101,-96.089081,304.397003,136.457138,,,
25,0.208333,14:47:09:15.02,-96.619240,302.191101,133.290573,-96.617424,309.066406,133.940552,-96.087715,304.396606,136.457474,,,
26,0.216667,14:47:09:15.03,-96.616104,302.190491,133.289703,-96.617508,309.067047,133.940506,-96.086899,304.394653,136.456268,,,
27,0.225000,14:47:09:16.00,-96.616035,302.189301,133.290573,-96.617767,309.066711,133.940674,-96.087524,304.395966,136.457932,,,
28,0.233333,14:47:09:16.01,-96.616982,302.190887,133.290176,-96.618423,309.067017,133.940262,-96.087524,304.395660,136.457245,,,
29,0.241667,14:47:09:16.02,-96.617226,302.190979,133.290054,-96.618362,309.066345,133.941116,-96.088341,304.396729,136.457642,,,
30,0.250000,14:47:09:16.03,-96.617989,302.190552,133.289963,-96.617577,309.065826,133.940094,-96.089760,304.396301,136.458344,,,
31,0.258333,14:47:09:17.00,-96.617378,302.191040,133.289474,-96.616730,309.066376,133.941025,-96.082489,304.400238,136.457016,,,
32,0.266667,14:47:09:17.01,-96.617027,302.189972,133.289780,-96.617989,309.067230,133.941269,-96.082375,304.400696,136.458130,,,
