Format Version,1.24,Take Name,Take 2026-08-04 03.46.00 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-04 03.46.01.395 ,Capture Start Frame,1014900,Total Frames in Take,7858,Total Exported Frames,7858,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Unlabeled 1257,Unlabeled 1257,Unlabeled 1257
,ID,,"1E2B512B900B11F1794CD665D3A07481","1E2B512B900B11F1794CD665D3A07481","1E2B512B900B11F1794CD665D3A07481","1E2B5129900B11F1794CD665D3A07481","1E2B5129900B11F1794CD665D3A07481","1E2B5129900B11F1794CD665D3A07481","1E2B512A900B11F1794CD665D3A07481","1E2B512A900B11F1794CD665D3A07481","1E2B512A900B11F1794CD665D3A07481","5BDFB6146D28FE711F1","5BDFB6146D28FE711F1","5BDFB6146D28FE711F1"
,,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),TimeCode,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
36,0.300000,15:47:07:26.02,-92.020348,311.554474,134.106293,-92.189781,318.422485,134.556442,-92.021370,313.825317,137.263214,,,
37,0.308333,15:47:07:26.03,-92.019142,311.554901,134.106598,-92.189674,318.421448,134.556290,-92.022247,313.825226,137.263504,,,
38,0.316667,15:47:07:27.00,-92.019119,311.555237,134.106796,-92.188660,318.421600,134.555786,-92.021431,313.824615,137.262573,,,
39,0.325000,15:47:07:27.01,-92.018021,311.555237,134.106750,-92.189735,318.422272,134.556931,-92.021523,313.824402,137.263580,,,
40,0.333333,15:47:07:27.02,-92.017807,311.555359,134.105957,-92.189438,318.421417,134.557922,-92.021034,313.825073,137.262909,,,
41,0.341667,15:47:07:27.03,-92.019760,311.555603,134.106628,-92.189476,318.421570,134.556808,-92.021271,313.825928,137.263672,,,
42,0.350000,15:47:07:28.00,-92.018494,311.554657,134.105453,-92.190117,318.421661,134.556000,-92.021797,313.825012,137.263641,,,
43,0.358333,15:47:07:28.01,-92.020454,311.555206,134.105637,-92.190781,318.422058,134.556396,-92.021751,313.825378,137.263290,,,
44,0.366667,15:47:07:28.02,-92.020203,311.555267,134.107346,-92.189972,318.421997,134.556396,-92.021416,313.825867,137.264221,,,
45,0.375000,15:47:07:28.03,-92.020454,311.556091,134.106995,-92.189400,318.421234,134.556839,-92.021324,313.824860,137.263184,,,
46,0.383333,15:47:07:29.00,-92.019310,311.555389,134.105988,-92.188683,318.422302,134.557373,-92.022049,313.825073,137.263489,,,
47,0.391667,15:47:07:29.01,-92.018433,311.555206,134.106369,-92.190918,318.422089,134.557251,-92.020767,313.825500,137.263519,,,
48,0.400000,15:47:07:29.02,-92.019508,311.554321,134.106918,-92.189499,318.422211,134.556366,-92.020584,313.824432,137.263184,,,
49,0.408333,15:47:07:29.03,-92.020027,311.554993,134.106308,-92.189301,318.421234,134.556976,-92.021118,313.825714,137.262207,,,
50,0.416667,15:47:08:00.00,-92.019524,311.555511,134.105667,-92.189682,318.422272,134.556442,-92.021507,313.824829,137.263687,,,
51,0.425000,15:47:08:00.01,-92.020523,311.554657,134.105637,-92.189941,318.423157,134.557465,-92.020515,313.823639,137.263260,,,
52,0.433333,15:47:08:00.02,-92.021347,311.555450,134.106689,-92.189377,318.421448,134.556610,-92.020927,313.824951,137.263077,,,
53,0.441667,15:47:08:00.03,-92.020416,311.555725,134.106064,-92.189842,318.422302,134.556717,-92.021355,313.825653,137.263733,,,
54,0.450000,15:47:08:01.00,-92.019073,311.555542,134.105408,-92.189011,318.421844,134.557205,-92.021629,313.824768,137.263336,,,
55,0.458333,15:47:08:01.01,-92.019928,311.554871,134.105865,-92.189461,318.421753,134.555954,-92.021080,313.824799,137.263046,,,
56,0.466667,15:47:08:01.02,-92.020500,311.556305,134.107498,-92.188629,318.421265,134.555649,-92.020813,313.824829,137.263245,,,
57,0.475000,15:47:08:01.03,-92.018333,311.554657,134.105194,-92.189148,318.421661,134.556473,-92.020844,313.825714,137.262894,,,
58,0.483333,15:47:08:02.00,-92.019234,311.554565,134.106491,-92.189476,318.422760,134.556442,-92.020439,313.825531,137.263199,,,
59,0.491667,15:47:08:02.01,-92.017845,311.555023,134.105942,-92.189896,318.421814,134.556625,-92.020973,313.825165,137.263107,,,
60,0.500000,15:47:08:02.02,-92.019287,311.555023,134.106094,-92.190475,318.421600,134.556595,-92.021851,313.824646,137.262375,,,
61,0.508333,15:47:08:02.03,-92.018600,311.555389,134.106598,-92.189827,318.421814,134.556396,-92.020660,313.824524,137.262558,,,
62,0.516667,15:47:08:03.00,-92.017128,311.555176,134.106140,-92.189934,318.422638,134.557373,-92.021027,313.824463,137.262802,,,
63,0.525000,15:47:08:03.01,-92.018791,311.555237,134.107208,-92.189667,318.421906,134.555588,-92.021736,313.824554,137.262695,,,
64,0.533333,15:47:08:03.02,-92.018433,311.555389,134.105453,-92.189781,318.422302,134.556763,-92.020760,313.824829,137.263382,,,
65,0.541667,15:47:08:03.03,-92.017540,311.555145,134.106079,-92.189217,318.422455,134.556183,-92.020767,313.824982,137.263626,,,
66,0.550000,15:47:08:04.00,-92.021843,311.555481,134.107849,-92.189667,318.422607,134.556335,-92.021400,313.825348,137.262695,,,
67,0.558333,15:47:08:04.01,-92.019028,311.555389,134.106369,-92.189804,318.422363,134.556274,-92.020897,313.825653,137.262802,,,
68,0.566667,15:47:08:04.02,-92.019066,311.555298,134.106033,-92.189560,318.422211,134.556412,-92.021301,313.825165,137.262436,,,
69,0.575000,15:47:08:04.03,-92.018616,311.555176,134.105270,-92.189598,318.422211,134.556274,-92.021828,313.824951,137.262268,,,
70,0.583333,15:47:08:05.00,-92.018692,311.554413,134.104889,-92.189651,318.423187,134.556046,-92.021782,313.824615,137.262390,,,
71,0.591667,15:47:08:05.01,-92.017967,311.554840,134.105850,-92.188942,318.422272,134.556442,-92.020729,313.825684,137.262619,,,
72,0.600000,15:47:08:05.02,-92.018135,311.555939,134.105835,-92.189293,318.421967,134.556259,-92.019951,313.824585,137.262482,,,
73,0.608333,15:47:08:05.03,-92.019943,311.555420,134.104935,-92.187500,318.421173,134.555511,-92.021202,313.825500,137.263107,,,
74,0.616667,15:47:08:06.00,-92.019859,311.555328,134.105759,-92.190147,318.422394,134.556229,-92.020309,313.824493,137.262222,,,
75,0.625000,15:47:08:06.01,-92.018494,311.553986,134.104767,-92.189667,318.422089,134.556442,-92.020020,313.825470,137.262802,,,
76,0.633333,15:47:08:06.02,-92.019882,311.554565,134.104721,-92.188301,318.420288,134.555191,-92.021057,313.826111,137.263351,,,
77,0.641667,15:47:08:06.03,-92.019226,311.556152,134.105728,-92.189888,318.422424,134.555923,-92.021370,313.825439,137.262497,,,
78,0.650000,15:47:08:07.00,-92.018288,311.554688,134.106476,-92.189835,318.422974,134.556839,-92.021706,313.825714,137.263245,,,
79,0.658333,15:47:08:07.01,-92.016083,311.554871,134.105927,-92.189011,318.422791,134.556503,-92.020775,313.825775,137.263000,,,
80,0.666667,15:47:08:07.02,-92.018593,311.556030,134.106094,-92.191139,318.422363,134.556763,-92.020241,313.824402,137.262970,,,
81,0.675000,15:47:08:07.03,-92.018280,311.555542,134.106293,-92.189583,318.421997,134.556061,-92.021545,313.825684,137.262909,,,
82,0.683333,15:47:08:08.00,-92.019463,311.555054,134.105850,-92.189873,318.421539,134.556503,-92.020821,313.824554,137.262650,,,
83,0.691667,15:47:08:08.01,-92.018814,311.554840,134.106293,-92.190170,318.421448,134.556259,-92.022499,313.824219,137.262634,,,
84,0.700000,15:47:08:08.02,-92.018929,311.555328,134.106171,-92.188988,318.420898,134.555496,-92.021706,313.825897,137.262650,,,
85,0.708333,15:47:08:08.03,-92.017754,311.554749,134.105240,-92.189423,318.421906,134.556396,-92.021271,313.825623,137.262863,,,
86,0.716667,15:47:08:09.00,-92.018700,311.554626,134.105972,-92.188820,318.421875,134.556000,-92.021515,313.824829,137.263184,,,
87,0.725000,15:47:08:09.01,-92.019257,311.554871,134.105103,-92.189339,318.422119,134.555756,-92.021362,313.825165,137.262421,,,
88,0.733333,15:47:08:09.02,-92.017303,311.555420,134.105103,-92.189148,318.422852,134.556351,-92.021111,313.825073,137.263031,,,
89,0.741667,15:47:08:09.03,-92.019569,311.555634,134.106125,-92.189835,318.422333,134.556366,-92.019791,313.825287,137.262909,,,
90,0.750000,15:47:08:10.00,-92.020844,311.554657,134.105743,-92.190620,318.423187,134.557068,-92.022575,313.824921,137.262665,,,
91,0.758333,15:47:08:10.01,-92.018105,311.553986,134.105225,-92.189346,318.421448,134.556564,-92.021645,313.823730,137.262802,,,
92,0.766667,15:47:08:10.02,-92.020645,311.555115,134.105331,-92.189514,318.421326,134.556274,-92.022255,313.825836,137.263824,,,
93,0.775000,15:47:08:10.03,-92.018440,311.554108,134.106125,-92.189720,318.421387,134.556152,-92.021057,313.825165,137.262939,,,
94,0.783333,15:47:08:11.00,-92.018654,311.555023,134.105865,-92.188957,318.422546,134.555984,-92.020737,313.824951,137.263046,,,
95,0.791667,15:47:08:11.01,-92.018417,311.555603,134.106308,-92.189499,318.421417,134.556778,-92.021599,313.824615,137.263611,,,
96,0.800000,15:47:08:11.02,-92.020683,311.555511,134.106384,-92.190262,318.422333,134.556610,-92.021950,313.825104,137.263611,,,
97,0.808333,15:47:08:11.03,-92.017899,311.554230,134.105392,-92.189499,318.421753,134.555084,-92.021790,313.826599,137.262924,,,
98,0.816667,15:47:08:12.00,-92.019218,311.554382,134.106003,-92.189766,318.421539,134.556335,-92.020294,313.825012,137.261642,,,
99,0.825000,15:47:08:12.01,-92.021011,311.554321,134.106750,-92.189987,318.421265,134.556458,-92.022232,313.824738,137.261734,,,
100,0.833333,15:47:08:12.02,-92.019142,311.554993,134.105469,-92.189308,318.421814,134.556442,-92.021187,313.825684,137.262802,,,
101,0.841667,15:47:08:12.03,-92.019409,311.554810,134.105713,-92.190308,318.421875,134.555740,-92.020706,313.825043,137.263062,,,
102,0.850000,15:47:08:13.00,-92.018013,311.555237,134.105484,-92.188988,318.421783,134.555496,-92.020378,313.825073,137.262817,,,
103,0.858333,15:47:08:13.01,-92.019180,311.555206,134.105576,-92.189117,318.422241,134.555817,-92.021797,313.825806,137.262939,,,
104,0.866667,15:47:08:13.02,-92.019203,311.554321,134.105499,-92.190536,318.422058,134.556412,-92.021919,313.823914,137.262939,,,
105,0.875000,15:47:08:13.03,-92.018753,311.554321,134.105942,-92.190590,318.422180,134.556320,-92.019913,313.825378,137.263077,,,
106,0.883333,15:47:08:14.00,-92.017677,311.555115,134.105606,-92.189285,318.421234,134.555618,-92.020569,313.824921,137.264175,,,
107,0.891667,15:47:08:14.01,-92.019424,311.554962,134.107254,-92.189850,318.421844,134.556549,-92.020851,313.824860,137.263412,,,
108,0.900000,15:47:08:14.02,-92.018684,311.554443,134.105774,-92.189590,318.422180,134.557007,-92.020760,313.825836,137.263611,,,
109,0.908333,15:47:08:14.03,-92.020065,311.554626,134.105713,-92.190582,318.422211,134.556442,-92.021606,313.825134,137.263657,,,
110,0.916667,15:47:08:15.00,-92.018311,311.555115,134.106628,-92.190094,318.422882,134.557816,-92.021324,313.824829,137.262955,,,
111,0.925000,15:47:08:15.01,-92.019608,311.555054,134.106094,-92.189743,318.422119,134.556442,-92.022133,313.824799,137.263794,,,
112,0.933333,15:47:08:15.02,-92.020264,311.554779,134.106705,-92.190086,318.421173,134.557678,-92.020920,313.825714,137.263214,,,
113,0.941667,15:47:08:15.03,-92.019142,311.554108,134.105438,-92.191170,318.422668,134.556717,-92.019684,313.824066,137.262543,,,
114,0.950000,15:47:08:16.00,-92.020477,311.555420,134.107239,-92.189659,318.421875,134.556458,-92.022583,313.824432,137.263138,,,
115,0.958333,15:47:08:16.01,-92.017548,311.554932,134.106628,-92.189812,318.421875,134.556473,-92.021057,313.825500,137.263733,,,
