Format Version,1.24,Take Name,Take 2026-08-04 03.39.02 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-04 03.39.03.026 ,Capture Start Frame,964696,Total Frames in Take,8024,Total Exported Frames,8024,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Unlabeled 1237,Unlabeled 1237,Unlabeled 1237
,ID,,"253C9560900A11F1794CD665D3A07481","253C9560900A11F1794CD665D3A07481","253C9560900A11F1794CD665D3A07481","253C955E900A11F1794CD665D3A07481","253C955E900A11F1794CD665D3A07481","253C955E900A11F1794CD665D3A07481","253C955F900A11F1794CD665D3A07481","253C955F900A11F1794CD665D3A07481","253C955F900A11F1794CD665D3A07481","5B7FB6146D28FE711F1","5B7FB6146D28FE711F1","5B7FB6146D28FE711F1"
,,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),TimeCode,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
36,0.300000,15:40:09:15.01,-92.020592,311.560181,134.111816,-92.195190,318.431366,134.558151,-92.027534,313.829926,137.268539,,,
37,0.308333,15:40:09:15.02,-92.019859,311.560822,134.111481,-92.192093,318.430573,134.554260,-92.021332,313.830414,137.266205,,,
38,0.316667,15:40:09:15.03,-92.018272,311.560760,134.111633,-92.195000,318.431305,134.557785,-92.021072,313.830963,137.267853,,,
39,0.325000,15:40:09:16.00,-92.019585,311.561707,134.111923,-92.194427,318.430939,134.557266,-92.027641,313.829987,137.268478,,,
40,0.333333,15:40:09:16.01,-92.019615,311.560333,134.112091,-92.194901,318.430389,134.558380,-92.021606,313.829407,137.267273,,,
41,0.341667,15:40:09:16.02,-92.019295,311.560547,134.112350,-92.195511,318.430359,134.558014,-92.021393,313.830292,137.267685,,,
42,0.350000,15:40:09:16.03,-92.018196,311.560669,134.112549,-92.192932,318.430786,134.554703,-92.028770,313.829254,137.268784,,,
43,0.358333,15:40:09:17.00,-92.017593,311.560425,134.111237,-92.195213,318.430389,134.556732,-92.021637,313.829651,137.268005,,,
44,0.366667,15:40:09:17.01,-92.019493,311.560394,134.112030,-92.193947,318.431366,134.554886,-92.020950,313.829620,137.268250,,,
45,0.375000,15:40:09:17.02,-92.019638,311.560638,134.113007,-92.194145,318.430481,134.558182,-92.021271,313.830200,137.267334,,,
46,0.383333,15:40:09:17.03,-92.018875,311.559998,134.112305,-92.194626,318.430634,134.558807,-92.021332,313.829956,137.267380,,,
47,0.391667,15:40:09:18.00,-92.021629,311.560242,134.112900,-92.195198,318.430359,134.558655,-92.021439,313.829559,137.267761,,,
