Format Version,1.24,Take Name,Take 2026-08-04 02.58.35 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-04 02.58.35.546 ,Capture Start Frame,673402,Total Frames in Take,6049,Total Exported Frames,6049,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Unlabeled 1137,Unlabeled 1137,Unlabeled 1137
,ID,,"72244688900411F1794CD665D3A07481","72244688900411F1794CD665D3A07481","72244688900411F1794CD665D3A07481","72244686900411F1794CD665D3A07481","72244686900411F1794CD665D3A07481","72244686900411F1794CD665D3A07481","72244687900411F1794CD665D3A07481","72244687900411F1794CD665D3A07481","72244687900411F1794CD665D3A07481","57DFB6146D28FE711F1","57DFB6146D28FE711F1","57DFB6146D28FE711F1"
,,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),TimeCode,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,14:59:41:22.00,-96.645729,302.153687,133.247421,-96.640388,309.031738,133.902435,-96.135323,304.354156,136.419403,,,
1,0.008333,14:59:41:22.01,-96.641685,302.153381,133.246994,-96.640305,309.031464,133.902817,-96.136169,304.354218,136.420227,,,
2,0.016667,14:59:41:22.02,-96.646187,302.153717,133.247437,-96.641853,309.032166,133.903412,-96.136185,304.355316,136.420258,,,
3,0.025000,14:59:41:22.03,-96.645012,302.153900,133.246765,-96.640350,309.030975,133.902603,-96.136177,304.353851,136.420303,,,
4,0.033333,14:59:41:23.00,-96.643974,302.153137,133.247940,-96.641479,309.031738,133.903336,-96.136086,304.354980,136.421219,,,
5,0.041667,14:59:41:23.01,-96.644531,302.153748,133.247726,-96.641876,309.031372,133.903793,-96.135422,304.353607,136.419846,,,
6,0.050000,14:59:41:23.02,-96.643860,302.154175,133.247757,-96.641037,309.032043,133.903473,-96.136353,304.354095,136.420837,,,
7,0.058333,14:59:41:23.03,-96.642616,302.153961,133.247040,-96.639671,309.032166,133.903275,-96.134972,304.354279,136.420197,,,
8,0.066667,14:59:41:24.00,-96.643219,302.152924,133.246567,-96.639870,309.031403,133.903198,-96.119446,304.353699,136.419434,,,
9,0.075000,14:59:41:24.01,-96.645599,302.153900,133.247635,-96.642342,309.031250,133.903290,-96.135422,304.356659,136.420334,,,
10,0.083333,14:59:41:24.02,-96.644363,302.153381,133.246964,-96.641541,309.031219,133.903366,-96.135071,304.355164,136.419617,,,
11,0.091667,14:59:41:24.03,-96.644485,302.153503,133.248413,-96.639587,309.031403,133.902390,-96.118195,304.353943,136.419601,,,
12,0.100000,14:59:41:25.00,-96.645531,302.153839,133.247345,-96.641174,309.032166,133.903152,-96.133781,304.354919,136.420227,,,
13,0.108333,14:59:41:25.01,-96.645943,302.153168,133.247238,-96.641266,309.032043,133.903809,-96.118561,304.352509,136.418747,,,
14,0.116667,14:59:41:25.02,-96.644928,302.153351,133.247223,-96.642006,309.031616,133.904144,-96.116699,304.353058,136.418716,,,
15,0.125000,14:59:41:25.03,-96.645386,302.152832,133.247681,-96.641068,309.032471,133.902802,-96.136406,304.355133,136.419495,,,
16,0.133333,14:59:41:26.00,-96.646248,302.153442,133.247345,-96.641624,309.032196,133.902802,-96.136406,304.354218,136.419525,,,
17,0.141667,14:59:41:26.01,-96.645935,302.153198,133.247055,-96.640640,309.030762,133.903458,-96.135620,304.353699,136.420792,,,
18,0.150000,14:59:41:26.02,-96.645279,302.153534,133.247269,-96.639458,309.031097,133.902420,-96.136269,304.353668,136.420258,,,
19,0.158333,14:59:41:26.03,-96.644035,302.154510,133.246536,-96.640800,309.031403,133.902237,-96.136398,304.353333,136.419891,,,
20,0.166667,14:59:41:27.00,-96.643417,302.153870,133.247238,-96.641068,309.030457,133.903961,-96.134987,304.354462,136.418884,,,
21,0.175000,14:59:41:27.01,-96.644791,302.153381,133.247253,-96.641655,309.032898,133.903992,-96.135139,304.354675,136.420090,,,
22,0.183333,14:59:41:27.02,-96.645393,302.152527,133.248108,-96.641289,309.030975,133.904327,-96.135887,304.353882,136.420059,,,
23,0.191667,14:59:41:27.03,-96.645226,302.152100,133.247345,-96.641037,309.031616,133.903534,-96.135033,304.353241,136.420959,,,
24,0.200000,14:59:41:28.00,-96.647820,302.152313,133.246994,-96.641724,309.030701,133.903229,-96.118423,304.353271,136.419098,,,
25,0.208333,14:59:41:28.01,-96.645035,302.153137,133.246780,-96.641357,309.031036,133.904083,-96.135780,304.356018,136.420425,,,
26,0.216667,14:59:41:28.02,-96.644348,302.152863,133.247528,-96.640015,309.030762,133.904587,-96.116768,304.353638,136.419678,,,
27,0.225000,14:59:41:28.03,-96.645844,302.152771,133.248276,-96.640106,309.031525,133.903519,-96.135117,304.356110,136.421234,,,
28,0.233333,14:59:41:29.00,-96.644188,302.154175,133.248276,-96.640800,309.032013,133.903580,-96.135696,304.353333,136.420914,,,
29,0.241667,14:59:41:29.01,-96.645561,302.153412,133.248276,-96.640488,309.031311,133.903168,-96.135979,304.354034,136.421082,,,
30,0.250000,14:59:41:29.02,-96.645355,302.153900,133.247284,-96.640755,309.031250,133.903061,-96.116920,304.352020,136.418320,,,
31,0.258333,14:59:41:29.03,-96.644264,302.153839,133.248001,-96.640633,309.031464,133.903687,-96.133873,304.354462,136.420258,,,
32,0.266667,14:59:42:00.00,-96.642891,302.154022,133.246536,-96.640755,309.031525,133.903107,-96.135017,304.353851,136.420135,,,
33,0.275000,14:59:42:00.01,-96.644470,302.152252,133.248032,-96.640839,309.031921,133.903366,-96.118370,304.353088,136.419952,,,
34,0.283333,14:59:42:00.02,-96.647171,302.152832,133.247498,-96.640686,309.031952,133.904037,-96.118256,304.354614,136.419861,,,
35,0.291667,14:59:42:00.03,-96.645004,302.153839,133.248428,-96.641701,309.031128,133.903259,-96.133743,304.354309,136.419571,,,
36,0.300000,14:59:42:01.00,-96.644585,302.152863,133.246918,-96.641006,309.031860,133.902847,-96.135620,304.353912,136.420090,,,
37,0.308333,14:59:42:01.01,-96.646332,302.153381,133.247803,-96.639778,309.031860,133.902161,-96.136986,304.354584,136.420486,,,
38,0.316667,14:59:42:01.02,-96.643608,302.153778,133.246567,-96.640984,309.032654,133.902344,-96.137337,304.353760,136.420471,,,
39,0.325000,14:59:42:01.03,-96.642982,302.153625,133.247208,-96.642487,309.032593,133.903198,-96.135101,304.353119,136.420624,,,
40,0.333333,14:59:42:02.00,-96.645805,302.154053,133.248322,-96.640785,309.030273,133.902786,-96.135124,304.354950,136.420349,,,
41,0.341667,14:59:42:02.01,-96.645210,302.153473,133.247742,-96.641113,309.032043,133.902771,-96.118721,304.353821,136.419449,,,
42,0.350000,14:59:42:02.02,-96.644249,302.154266,133.246964,-96.640938,309.031189,133.902863,-96.134392,304.355194,136.419601,,,
43,0.358333,14:59:42:02.03,-96.642761,302.152496,133.246048,-96.641434,309.031311,133.902847,-96.134644,304.352753,136.420288,,,
44,0.366667,14:59:42:03.00,-96.645424,302.153564,133.247162,-96.641960,309.031433,133.903427,-96.134254,304.352966,136.419281,,,
45,0.375000,14:59:42:03.01,-96.644936,302.152649,133.246658,-96.641617,309.032074,133.903351,-96.116287,304.353699,136.419464,,,
46,0.383333,14:59:42:03.02,-96.645309,302.152618,133.247116,-96.641212,309.032318,133.903519,-96.133408,304.355133,136.419662,,,
47,0.391667,14:59:42:03.03,-96.643120,302.153381,133.247269,-96.640579,309.030975,133.902618,-96.136124,304.353821,136.418869,,,
48,0.400000,14:59:42:04.00,-96.643013,302.153229,133.246506,-96.642212,309.031647,133.902084,-96.136246,304.354248,136.420441,,,
49,0.408333,14:59:42:04.01,-96.643661,302.153839,133.246826,-96.640900,309.030426,133.903503,-96.117790,304.354492,136.419357,,,
