Format Version,1.24,Take Name,Take 2026-08-04 03.29.37 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-04 03.29.38.188 ,Capture Start Frame,896917,Total Frames in Take,8285,Total Exported Frames,8285,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Unlabeled 1196,Unlabeled 1196,Unlabeled 1196
,ID,,"89D2A68F900811F1794CD665D3A07481","89D2A68F900811F1794CD665D3A07481","89D2A68F900811F1794CD665D3A07481","89D2A68E900811F1794CD665D3A07481","89D2A68E900811F1794CD665D3A07481","89D2A68E900811F1794CD665D3A07481","89D2A68D900811F1794CD665D3A07481","89D2A68D900811F1794CD665D3A07481","89D2A68D900811F1794CD665D3A07481","5A3FB6146D28FE711F1","5A3FB6146D28FE711F1","5A3FB6146D28FE711F1"
,,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),TimeCode,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,15:30:44:11.01,-92.020187,311.562469,134.122498,-92.194832,318.433533,134.565277,-92.028496,313.830719,137.274857,,,
1,0.008333,15:30:44:11.02,-92.019951,311.562958,134.122055,-92.194191,318.433441,134.562592,-92.028030,313.830688,137.274475,,,
2,0.016667,15:30:44:11.03,-92.020798,311.563416,134.121475,-92.193855,318.434204,134.562714,-92.028328,313.830811,137.276016,,,
3,0.025000,15:30:44:12.00,-92.020370,311.562256,134.121124,-92.195732,318.432556,134.565491,-92.027054,313.831390,137.275742,,,
4,0.033333,15:30:44:12.01,-92.019775,311.562683,134.121490,-92.193756,318.433594,134.561188,-92.028015,313.831055,137.275589,,,
5,0.041667,15:30:44:12.02,-92.019730,311.562836,134.121567,-92.194534,318.433350,134.562500,-92.026398,313.830780,137.273987,,,
6,0.050000,15:30:44:12.03,-92.022285,311.562897,134.123001,-92.196640,318.433105,134.565475,-92.027847,313.830505,137.274963,,,
7,0.058333,15:30:44:13.00,-92.021866,311.562836,134.122269,-92.196335,318.432465,134.565277,-92.028419,313.830231,137.275284,,,
8,0.066667,15:30:44:13.01,-92.021057,311.562500,134.121841,-92.193810,318.432800,134.562286,-92.028839,313.830261,137.275604,,,
9,0.075000,15:30:44:13.02,-92.021698,311.563019,134.123199,-92.192749,318.432983,134.562134,-92.027954,313.830414,137.275116,,,
10,0.083333,15:30:44:13.03,-92.018684,311.562408,134.121094,-92.194923,318.433441,134.565430,-92.019722,313.831055,137.272827,,,
11,0.091667,15:30:44:14.00,-92.022995,311.562561,134.122238,-92.193375,318.433929,134.562820,-92.027107,313.831757,137.275421,,,
12,0.100000,15:30:44:14.01,-92.022079,311.562775,134.121964,-92.196098,318.432800,134.565430,-92.026779,313.831024,137.275940,,,
13,0.108333,15:30:44:14.02,-92.022530,311.562836,134.121628,-92.195686,318.433350,134.565247,-92.026764,313.830261,137.274918,,,
14,0.116667,15:30:44:14.03,-92.020210,311.562439,134.121643,-92.194626,318.434753,134.562393,-92.028320,313.831146,137.275436,,,
15,0.125000,15:30:44:15.00,-92.021019,311.562561,134.122284,-92.196220,318.432312,134.565536,-92.028107,313.830597,137.275391,,,
16,0.133333,15:30:44:15.01,-92.021912,311.562286,134.122711,-92.193893,318.433533,134.561371,-92.021042,313.830627,137.273544,,,
17,0.141667,15:30:44:15.02,-92.020912,311.563049,134.121887,-92.194092,318.433014,134.561600,-92.020500,313.832581,137.274521,,,
18,0.150000,15:30:44:15.03,-92.020210,311.562347,134.121658,-92.195816,318.432892,134.564896,-92.026344,313.830811,137.275513,,,
19,0.158333,15:30:44:16.00,-92.022308,311.562683,134.121674,-92.193687,318.433533,134.562149,-92.029785,313.830048,137.274200,,,
