Format Version,1.24,Take Name,Take 2026-08-04 03.25.39 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-04 03.25.40.230 ,Capture Start Frame,868362,Total Frames in Take,8622,Total Exported Frames,8622,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Unlabeled 1189,Unlabeled 1189,Unlabeled 1189
,ID,,"4CF0B31A900811F1794CD665D3A07481","4CF0B31A900811F1794CD665D3A07481","4CF0B31A900811F1794CD665D3A07481","4CF0B318900811F1794CD665D3A07481","4CF0B318900811F1794CD665D3A07481","4CF0B318900811F1794CD665D3A07481","4CF0B319900811F1794CD665D3A07481","4CF0B319900811F1794CD665D3A07481","4CF0B319900811F1794CD665D3A07481","5A2FB6146D28FE711F1","5A2FB6146D28FE711F1","5A2FB6146D28FE711F1"
,,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),TimeCode,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,15:26:46:12.02,-92.003639,311.561951,134.137253,-92.183914,318.431824,134.583328,-92.011810,313.831543,137.288467,,,
1,0.008333,15:26:46:12.03,-92.001984,311.561401,134.137955,-92.197525,318.439667,134.584061,-92.010101,313.831818,137.289017,,,
2,0.016667,15:26:46:13.00,-92.002449,311.562317,134.137802,-92.185181,318.432098,134.584427,-92.011101,313.830536,137.288422,,,
3,0.025000,15:26:46:13.01,-92.001884,311.561646,134.138199,-92.182045,318.431793,134.584183,-92.010864,313.830536,137.287628,,,
4,0.033333,15:26:46:13.02,-91.999374,311.561462,134.136673,-92.182709,318.432129,134.585541,-92.011192,313.831390,137.289185,,,
5,0.041667,15:26:46:13.03,-92.003723,311.562714,134.139175,-92.183632,318.432159,134.585159,-92.010651,313.829590,137.288467,,,
6,0.050000,15:26:46:14.00,-92.003883,311.562836,134.137482,-92.183472,318.431274,134.585724,-92.010239,313.830811,137.288300,,,
7,0.058333,15:26:46:14.01,-92.002190,311.561523,134.136978,-92.183090,318.431396,134.584396,-92.010292,313.830444,137.288223,,,
8,0.066667,15:26:46:14.02,-92.002914,311.562592,134.137650,-92.194817,318.438232,134.583344,-92.011169,313.829926,137.288605,,,
