Format Version,1.24,Take Name,Take 2026-08-04 03.50.03 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-04 03.50.04.278 ,Capture Start Frame,1044046,Total Frames in Take,7172,Total Exported Frames,7172,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Unlabeled 1277,Unlabeled 1277,Unlabeled 1277
,ID,,"B241AB08900B11F1794CD665D3A07481","B241AB08900B11F1794CD665D3A07481","B241AB08900B11F1794CD665D3A07481","B241AB06900B11F1794CD665D3A07481","B241AB06900B11F1794CD665D3A07481","B241AB06900B11F1794CD665D3A07481","B241AB07900B11F1794CD665D3A07481","B241AB07900B11F1794CD665D3A07481","B241AB07900B11F1794CD665D3A07481","5C4FB6146D28FE711F1","5C4FB6146D28FE711F1","5C4FB6146D28FE711F1"
,,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),TimeCode,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,15:51:10:14.00,-92.019417,311.557281,134.104691,-92.192780,318.428314,134.547379,-92.021851,313.827911,137.260757,,,
1,0.008333,15:51:10:14.01,-92.018242,311.558075,134.104187,-92.193230,318.427612,134.548325,-92.021530,313.826599,137.260376,,,
2,0.016667,15:51:10:14.02,-92.017670,311.557709,134.102936,-92.192291,318.427216,134.545761,-92.020836,313.827667,137.261276,,,
3,0.025000,15:51:10:14.03,-92.019722,311.557709,134.103958,-92.192909,318.428375,134.546387,-92.020569,313.826477,137.261383,,,
4,0.033333,15:51:10:15.00,-92.020340,311.556641,134.104309,-92.193359,318.428101,134.549026,-92.021820,313.827423,137.261383,,,
5,0.041667,15:51:10:15.01,-92.017456,311.557678,134.102280,-92.192917,318.427551,134.545776,-92.021767,313.826965,137.261230,,,
6,0.050000,15:51:10:15.02,-92.017822,311.557373,134.103333,-92.194420,318.427765,134.549728,-92.021782,313.827789,137.260803,,,
7,0.058333,15:51:10:15.03,-92.016594,311.557648,134.102707,-92.194313,318.427795,134.549210,-92.022362,313.826599,137.260727,,,
8,0.066667,15:51:10:16.00,-92.017685,311.556946,134.103806,-92.191673,318.428528,134.545868,-92.021454,313.826263,137.260834,,,
9,0.075000,15:51:10:16.01,-92.018661,311.557129,134.104126,-92.194878,318.427887,134.549469,-92.021164,313.827271,137.261337,,,
10,0.083333,15:51:10:16.02,-92.018982,311.556885,134.104279,-92.194664,318.428253,134.550476,-92.021713,313.827423,137.262222,,,
11,0.091667,15:51:10:16.03,-92.018906,311.557861,134.102570,-92.191849,318.426697,134.545898,-92.021622,313.826447,137.260681,,,
12,0.100000,15:51:10:17.00,-92.020721,311.557739,134.103973,-92.194824,318.427612,134.548218,-92.022079,313.826904,137.260834,,,
13,0.108333,15:51:10:17.01,-92.019745,311.557190,134.102966,-92.194214,318.427979,134.546005,-92.022362,313.825928,137.261398,,,
14,0.116667,15:51:10:17.02,-92.017624,311.556885,134.103302,-92.193489,318.428253,134.548843,-92.020943,313.826874,137.260376,,,
15,0.125000,15:51:10:17.03,-92.017647,311.556671,134.103088,-92.191269,318.427917,134.545914,-92.022644,313.826660,137.260254,,,
16,0.133333,15:51:10:18.00,-92.018898,311.557861,134.102814,-92.194267,318.427917,134.549866,-92.021683,313.826141,137.260712,,,
17,0.141667,15:51:10:18.01,-92.017975,311.556458,134.102707,-92.193657,318.427765,134.549072,-92.021675,313.826691,137.260101,,,
18,0.150000,15:51:10:18.02,-92.017380,311.557068,134.103165,-92.193214,318.427673,134.546204,-92.021202,313.826843,137.259872,,,
19,0.158333,15:51:10:18.03,-92.019470,311.558319,134.103638,-92.193619,318.428314,134.545532,-92.021507,313.827240,137.261551,,,
20,0.166667,15:51:10:19.00,-92.016830,311.557434,134.103928,-92.193352,318.427277,134.547012,-92.022118,313.827179,137.261307,,,
21,0.175000,15:51:10:19.01,-92.017578,311.557159,134.104034,-92.193260,318.427856,134.548279,-92.023163,313.826080,137.260803,,,
22,0.183333,15:51:10:19.02,-92.021591,311.557648,134.103958,-92.193184,318.427551,134.548080,-92.022095,313.826843,137.260757,,,
23,0.191667,15:51:10:19.03,-92.019844,311.557648,134.102905,-92.195107,318.427612,134.548645,-92.023422,313.826660,137.261169,,,
24,0.200000,15:51:10:20.00,-92.016731,311.557526,134.102371,-92.192230,318.427368,134.545654,-92.021858,313.827087,137.260254,,,
25,0.208333,15:51:10:20.01,-92.016701,311.557190,134.103027,-92.194336,318.428864,134.546539,-92.020676,313.826904,137.260574,,,
26,0.216667,15:51:10:20.02,-92.017525,311.556946,134.103470,-92.192459,318.427277,134.545074,-92.022430,313.826752,137.260773,,,
27,0.225000,15:51:10:20.03,-92.015961,311.556946,134.104614,-92.193367,318.428223,134.548889,-92.022774,313.827728,137.261551,,,
28,0.233333,15:51:10:21.00,-92.018005,311.557373,134.103104,-92.193695,318.428894,134.550339,-92.022034,313.828278,137.260849,,,
29,0.241667,15:51:10:21.01,-92.016113,311.556854,134.103256,-92.194221,318.428650,134.550659,-92.022179,313.826111,137.260864,,,
30,0.250000,15:51:10:21.02,-92.016365,311.556732,134.101562,-92.194191,318.427094,134.549347,-92.022209,313.826599,137.260193,,,
31,0.258333,15:51:10:21.03,-92.017151,311.556366,134.102386,-92.192986,318.428101,134.545761,-92.022285,313.827515,137.261734,,,
32,0.266667,15:51:10:22.00,-92.018005,311.557617,134.104568,-92.193398,318.426514,134.548920,-92.021355,313.826752,137.261017,,,
33,0.275000,15:51:10:22.01,-92.018410,311.557373,134.103210,-92.192200,318.427032,134.546204,-92.021767,313.827667,137.261658,,,
34,0.283333,15:51:10:22.02,-92.016273,311.557617,134.102631,-92.193352,318.427399,134.545410,-92.021767,313.826904,137.259720,,,
35,0.291667,15:51:10:22.03,-92.017403,311.556305,134.103149,-92.194328,318.427673,134.548981,-92.022858,313.826538,137.260254,,,
36,0.300000,15:51:10:23.00,-92.020042,311.556946,134.103073,-92.193939,318.427673,134.549057,-92.022881,313.827148,137.260895,,,
37,0.308333,15:51:10:23.01,-92.019127,311.557098,134.102982,-92.194176,318.427917,134.549194,-92.022827,313.826691,137.261230,,,
38,0.316667,15:51:10:23.02,-92.019012,311.557617,134.103439,-92.194176,318.427826,134.547577,-92.022217,313.827209,137.261536,,,
39,0.325000,15:51:10:23.03,-92.016762,311.556671,134.102829,-92.194923,318.427246,134.549194,-92.022346,313.826508,137.260681,,,
40,0.333333,15:51:10:24.00,-92.017937,311.557709,134.104111,-92.192802,318.427856,134.546432,-92.022476,313.827026,137.262100,,,
41,0.341667,15:51:10:24.01,-92.017975,311.558136,134.103577,-92.192986,318.428375,134.545837,-92.023041,313.826752,137.261505,,,
42,0.350000,15:51:10:24.02,-92.018356,311.557739,134.102615,-92.195198,318.427917,134.549530,-92.022484,313.827148,137.260910,,,
43,0.358333,15:51:10:24.03,-92.018608,311.557770,134.104553,-92.194305,318.427917,134.547394,-92.022064,313.827271,137.261337,,,
44,0.366667,15:51:10:25.00,-92.018303,311.557434,134.103729,-92.196487,318.427399,134.549332,-92.022125,313.827667,137.261414,,,
45,0.375000,15:51:10:25.01,-92.017876,311.557404,134.103455,-92.195679,318.428040,134.549011,-92.022865,313.826630,137.261642,,,
46,0.383333,15:51:10:25.02,-92.018471,311.556305,134.102844,-92.195549,318.427979,134.549393,-92.021721,313.827850,137.260529,,,
47,0.391667,15:51:10:25.03,-92.019890,311.557892,134.103226,-92.194687,318.428040,134.548920,-92.023239,313.826965,137.261215,,,
48,0.400000,15:51:10:26.00,-92.018661,311.557281,134.103378,-92.193985,318.429016,134.547195,-92.021683,313.827209,137.260727,,,
49,0.408333,15:51:10:26.01,-92.018623,311.557220,134.102951,-92.194237,318.428192,134.549118,-92.022850,313.827484,137.261612,,,
50,0.416667,15:51:10:26.02,-92.017227,311.556702,134.103378,-92.191299,318.427002,134.545212,-92.022163,313.826813,137.261902,,,
51,0.425000,15:51:10:26.03,-92.018517,311.557953,134.103043,-92.193779,318.427643,134.548553,-92.021301,313.826599,137.259766,,,
52,0.433333,15:51:10:27.00,-92.017517,311.556702,134.101624,-92.192207,318.428741,134.546524,-92.022614,313.827454,137.260788,,,
53,0.441667,15:51:10:27.01,-92.016098,311.556641,134.101578,-92.193695,318.427917,134.548828,-92.021774,313.827606,137.260300,,,
54,0.450000,15:51:10:27.02,-92.019737,311.557709,134.103851,-92.194588,318.427307,134.550125,-92.022224,313.828186,137.261856,,,
55,0.458333,15:51:10:27.03,-92.019981,311.556946,134.103958,-92.193886,318.426788,134.549637,-92.021576,313.827026,137.261520,,,
56,0.466667,15:51:10:28.00,-92.019424,311.557037,134.103989,-92.193016,318.427155,134.546326,-92.020752,313.827026,137.260300,,,
57,0.475000,15:51:10:28.01,-92.017242,311.556488,134.101852,-92.192413,318.428009,134.545319,-92.023018,313.826996,137.261185,,,
58,0.483333,15:51:10:28.02,-92.018143,311.556030,134.103424,-92.193527,318.427032,134.546463,-92.022491,313.827484,137.260849,,,
59,0.491667,15:51:10:28.03,-92.016739,311.557007,134.103470,-92.192612,318.428741,134.546524,-92.021248,313.825928,137.261292,,,
60,0.500000,15:51:10:29.00,-92.019325,311.557434,134.103455,-92.192657,318.428101,134.546188,-92.022087,313.827606,137.260971,,,
61,0.508333,15:51:10:29.01,-92.017654,311.556885,134.103699,-92.194160,318.426483,134.548965,-92.022697,313.826111,137.261505,,,
62,0.516667,15:51:10:29.02,-92.018242,311.557220,134.104614,-92.193237,318.427917,134.546616,-92.022110,313.825958,137.261993,,,
63,0.525000,15:51:10:29.03,-92.019691,311.557037,134.105026,-92.192474,318.427612,134.546005,-92.022446,313.825684,137.261292,,,
