Format Version,1.24,Take Name,Take 2026-08-04 03.33.25 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-04 03.33.26.509 ,Capture Start Frame,924315,Total Frames in Take,11666,Total Exported Frames,11666,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Unlabeled 1212,Unlabeled 1212,Unlabeled 1212
,ID,,"107487F5900911F1794CD665D3A07481","107487F5900911F1794CD665D3A07481","107487F5900911F1794CD665D3A07481","107487F4900911F1794CD665D3A07481","107487F4900911F1794CD665D3A07481","107487F4900911F1794CD665D3A07481","107487F3900911F1794CD665D3A07481","107487F3900911F1794CD665D3A07481","107487F3900911F1794CD665D3A07481","5A8FB6146D28FE711F1","5A8FB6146D28FE711F1","5A8FB6146D28FE711F1"
,,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),TimeCode,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,15:34:32:21.00,-92.022202,311.562897,134.117493,-92.194107,318.433197,134.560165,-92.028214,313.829742,137.271667,,,
1,0.008333,15:34:32:21.01,-92.022568,311.561707,134.118286,-92.195580,318.432068,134.563065,-92.030106,313.829834,137.273376,,,
2,0.016667,15:34:32:21.02,-92.022034,311.561035,134.117966,-92.193970,318.431641,134.559143,-92.029106,313.829865,137.272781,,,
3,0.025000,15:34:32:21.03,-92.024078,311.562408,134.116989,-92.195816,318.431946,134.562622,-92.029099,313.830139,137.271561,,,
4,0.033333,15:34:32:22.00,-92.023125,311.561157,134.117004,-92.197899,318.432678,134.564178,-92.021385,313.830994,137.271454,,,
5,0.041667,15:34:32:22.01,-92.022057,311.560699,134.117554,-92.195496,318.432678,134.562424,-92.021965,313.830933,137.271118,,,
6,0.050000,15:34:32:22.02,-92.021484,311.561279,134.118347,-92.196823,318.433167,134.562744,-92.022667,313.828979,137.272034,,,
7,0.058333,15:34:32:22.03,-92.021378,311.561859,134.118057,-92.194084,318.431915,134.559387,-92.029999,313.829102,137.271881,,,
8,0.066667,15:34:32:23.00,-92.021812,311.562408,134.118851,-92.194489,318.432556,134.558685,-92.022720,313.830841,137.271042,,,
9,0.075000,15:34:32:23.01,-92.021576,311.562195,134.117447,-92.195816,318.432129,134.562149,-92.029213,313.829834,137.272949,,,
10,0.083333,15:34:32:23.02,-92.020706,311.561584,134.117065,-92.196671,318.432159,134.563248,-92.029228,313.830322,137.272003,,,
11,0.091667,15:34:32:23.03,-92.022118,311.560913,134.117081,-92.194901,318.431732,134.562988,-92.029701,313.828766,137.271820,,,
12,0.100000,15:34:32:24.00,-92.021278,311.561462,134.117340,-92.195114,318.431976,134.559845,-92.028145,313.828735,137.271317,,,
13,0.108333,15:34:32:24.01,-92.020401,311.562561,134.116943,-92.197235,318.431915,134.563202,-92.029808,313.829590,137.273331,,,
14,0.116667,15:34:32:24.02,-92.021004,311.561798,134.116608,-92.194977,318.432465,134.559814,-92.029694,313.829742,137.272949,,,
15,0.125000,15:34:32:24.03,-92.021149,311.561310,134.117493,-92.196045,318.432251,134.562546,-92.028336,313.829193,137.272293,,,
16,0.133333,15:34:32:25.00,-92.020844,311.561310,134.116776,-92.193954,318.432159,134.559891,-92.022118,313.829529,137.270630,,,
17,0.141667,15:34:32:25.01,-92.020729,311.560516,134.117050,-92.195152,318.432922,134.559692,-92.029449,313.829926,137.272675,,,
18,0.150000,15:34:32:25.02,-92.020966,311.561493,134.116501,-92.196693,318.432190,134.563004,-92.030548,313.829651,137.272675,,,
