,Type,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Unlabeled 1382,Unlabeled 1382,Unlabeled 1382,Unlabeled 1383,Unlabeled 1383,Unlabeled 1383,Unlabeled 1384,Unlabeled 1384,Unlabeled 1384,Unlabeled 1385,Unlabeled 1385,Unlabeled 1385,Unlabeled 1386,Unlabeled 1386,Unlabeled 1386,Unlabeled 1387,Unlabeled 1387,Unlabeled 1387,Unlabeled 1388,Unlabeled 1388,Unlabeled 1388,Unlabeled 1389,Unlabeled 1389,Unlabeled 1389,Unlabeled 1390,Unlabeled 1390,Unlabeled 1390,Unlabeled 1391,Unlabeled 1391,Unlabeled 1391,Unlabeled 1392,Unlabeled 1392,Unlabeled 1392
,ID,,"DB34E45A900E11F1794CD665D3A07481","DB34E45A900E11F1794CD665D3A07481","DB34E45A900E11F1794CD665D3A07481","DB34E458900E11F1794CD665D3A07481","DB34E458900E11F1794CD665D3A07481","DB34E458900E11F1794CD665D3A07481","DB34E459900E11F1794CD665D3A07481","DB34E459900E11F1794CD665D3A07481","DB34E459900E11F1794CD665D3A07481","605FB6146D28FE711F1","605FB6146D28FE711F1","605FB6146D28FE711F1","606FB6146D28FE711F1","606FB6146D28FE711F1","606FB6146D28FE711F1","607FB6146D28FE711F1","607FB6146D28FE711F1","607FB6146D28FE711F1","608FB6146D28FE711F1","608FB6146D28FE711F1","608FB6146D28FE711F1","609FB6146D28FE711F1","609FB6146D28FE711F1","609FB6146D28FE711F1","60AFB6146D28FE711F1","60AFB6146D28FE711F1","60AFB6146D28FE711F1","60BFB6146D28FE711F1","60BFB6146D28FE711F1","60BFB6146D28FE711F1","60CFB6146D28FE711F1","60CFB6146D28FE711F1","60CFB6146D28FE711F1","60DFB6146D28FE711F1","60DFB6146D28FE711F1","60DFB6146D28FE711F1","60EFB6146D28FE711F1","60EFB6146D28FE711F1","60EFB6146D28FE711F1","60FFB6146D28FE711F1","60FFB6146D28FE711F1","60FFB6146D28FE711F1"
,,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),TimeCode,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
15,0.125000,16:12:17:11.02,-92.015549,311.549683,134.092926,-92.190796,318.418823,134.539322,-92.031288,313.822083,137.245911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,16:12:17:11.03,-92.016632,311.550171,134.092712,-92.190613,318.419342,134.536530,-92.022652,313.819733,137.252960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,16:12:17:12.00,-92.015945,311.549530,134.092438,-92.191010,318.419617,134.538452,-92.021545,313.820251,137.253433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,16:12:17:12.01,-92.015648,311.549042,134.092712,-92.190483,318.419739,134.539383,-92.021378,313.820251,137.254150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,16:12:17:12.02,-92.016205,311.549530,134.092865,-92.191170,318.418884,134.539337,-92.021294,313.818207,137.253387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,16:12:17:12.03,-92.015282,311.550201,134.093613,-92.191780,318.419525,134.539856,-92.021523,313.820404,137.253891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,16:12:17:13.00,-92.016922,311.550751,134.093048,-92.191956,318.419037,134.540253,-92.022331,313.820679,137.253754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,16:12:17:13.01,-92.016205,311.549316,134.093109,-92.189369,318.420410,134.537201,-92.029778,313.821747,137.246017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,16:12:17:13.02,-92.018143,311.549866,134.094131,-92.192596,318.420441,134.539948,-92.032135,313.823242,137.245850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,16:12:17:13.03,-92.018562,311.549377,134.093857,-92.190201,318.419250,134.536957,-92.022400,313.818878,137.252106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,16:12:17:14.00,-92.018387,311.550201,134.094727,-92.192909,318.419617,134.539932,-92.021561,313.819672,137.253754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,16:12:17:14.01,-92.016426,311.550201,134.094604,-92.192047,318.419800,134.540100,-92.031387,313.822540,137.247406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,16:12:17:14.02,-92.016747,311.550873,134.093506,-92.191444,318.419647,134.539429,-92.024170,313.819519,137.252335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,16:12:17:14.03,-92.017418,311.550598,134.092957,-92.191460,318.420227,134.541367,-92.022469,313.820251,137.253586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,16:12:17:15.00,-92.018074,311.550629,134.093201,-92.191582,318.419922,134.540314,-92.022697,313.820526,137.253387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
