x,y,z,capture_time,detection_time,confidence
10.150444587281125,9.471739808009184,80.29869846366734,96423.13203,96423.155881,0.9913844327610254
10.149331128489088,9.471654682238773,80.32048963017907,96423.145363,96423.169789,0.9913844327610254
10.154962148951185,9.445557452693834,80.22747253121506,96423.158697,96423.182207,0.9644150138149021
10.149538345301353,9.457893265460934,80.36352849516685,96423.172029,96423.197549,0.9778811044038136
10.134540271245797,9.450515920900738,80.31397267476393,96423.185363,96423.209178,0.9615408322557736
10.114266259760695,9.436567816529578,80.32480721576034,96423.198696,96423.222692,0.9814689667080722
10.101003818535792,9.44082069949103,80.34371985286491,96423.21203,96423.236524,0.938095349924778
10.087465658088243,9.443486313910599,80.30182083986097,96423.225363,96423.25083,0.9997394626967355
10.07550913177128,9.457332681389403,80.29418841775595,96423.238696,96423.262965,0.9855047342142026
10.064434503923753,9.471412916037082,80.2819299244362,96423.252029,96423.276173,0.9941749866551287
10.05185759717008,9.499156597133911,80.28124022786214,96423.265363,96423.29652,0.9758932370517817
10.036738332707257,9.522818841139284,80.28987557514262,96423.278696,96423.303126,0.9604092581019723
10.034134083984561,9.558860930019549,80.41170090312396,96423.292029,96423.316844,0.9136891955992041
10.001945222175378,9.577609366713055,80.2761115098649,96423.305363,96423.329954,0.9901337822436618
9.989548744161565,9.597657428214674,80.28005169399655,96423.318696,96423.343839,0.975071180600558
9.98954166801773,9.625498832605263,80.34542426532674,96423.332029,96423.357044,0.9541494865287743
9.999219380172152,9.661145907080945,80.40693213186302,96423.345363,96423.369748,0.8791546782529016
10.013352543405686,9.692546639293056,80.42532058249466,96423.358696,96423.386186,0.9763507690212012
10.02754494522648,9.718890070769536,80.41753812446069,96423.372029,96423.396817,0.9941749866551287
10.048084486393055,9.740130740552727,80.39570739488757,96423.385362,96423.411281,0.9992462910519266
10.074284265836853,9.776205917154304,80.45245711817549,96423.398696,96423.423261,0.9899266139327197
10.101231006530787,9.804051064587306,80.51457269867387,96423.412029,96423.436596,0.9922804505833743
10.117033412667437,9.83870355313576,80.4792349984861,96423.425363,96423.451504,0.9949305421304095
10.10722649789324,9.893239029947905,80.4253241166672,96423.438696,96423.464598,0.9713229320217367
10.110690897641023,9.94509533322887,80.4746489879436,96423.452029,96423.476454,0.9830722790744756
10.128527198234725,9.988995192285289,80.49004578898708,96423.465362,96423.489851,0.9949416081889577
10.162695897245074,10.030484838125352,80.62749120264277,96423.478696,96423.503374,0.9870964951262583
10.18845954555442,10.039677852720096,80.660324480218,96423.492029,96423.518186,0.9911672098819618
10.209283710581676,10.050040497534663,80.587264906281,96423.505362,96423.529826,0.9817169486277544
10.226884909172401,10.103217935113179,80.57944416530647,96423.518696,96423.543555,0.9758932370517817
10.269741389901561,10.175870679932613,80.6466922770876,96423.532029,96423.556344,0.9584465479053943
10.297844937657084,10.254675051896713,80.70221433265002,96423.545362,96423.570416,0.9774907076491448
10.320989455663366,10.2858088001629,80.61816020385604,96423.558696,96423.582193,0.927311747339919
10.37884040937886,10.352029116526714,80.73244255944611,96423.572029,96423.602892,0.9943028823193105
10.41120768724703,10.360198507971363,80.54486280936054,96423.585362,96423.610163,0.9380106276921276
10.480433050099638,10.409558556087065,80.71283017478872,96423.598695,96423.623216,0.9359879732389701
10.525178406634774,10.417281482257438,80.63563166756165,96423.612029,96423.63583,0.9843741789790863
10.58760008509236,10.430770763807653,80.70917176467435,96423.625362,96423.649499,0.9508465543804255
10.62202499395608,10.438367819604348,80.63336253625972,96423.638696,96423.66374,0.9958056402437849
10.66429145346957,10.45105822084601,80.70449254768583,96423.652029,96423.677721,0.9994496699175337
10.695048390754014,10.46153597343296,80.74661051789485,96423.665362,96423.689207,0.9795422925977283
10.717238568265577,10.46685272100384,80.67137944376478,96423.678695,96423.702819,0.9867132502870701
10.74233273554184,10.478338486920368,80.68559807529795,96423.692029,96423.716701,0.9567743624649925
10.776062791170588,10.487423257520346,80.74194031187668,96423.705362,96423.729254,0.9831569400312672
10.791814123489665,10.50161406649991,80.76149911968295,96423.718695,96423.742619,0.9178840113730529
10.798361508485383,10.503704506684013,80.68098258726722,96423.732029,96423.756882,0.9266404433573964
10.818393958184476,10.514919500931226,80.71681942782702,96423.745362,96423.769448,0.9360277611912321
10.822855135709633,10.52946144919676,80.6563480185447,96423.758696,96423.782668,0.9961811560118137
10.83356875948575,10.561907439807731,80.68060460614456,96423.772028,96423.797183,0.9958056402437849
10.852941426875379,10.585824502133457,80.66089583325663,96423.785362,96423.809087,0.9556533027482119
10.885747008343378,10.637368484801454,80.79189532217075,96423.798695,96423.824341,0.9248015567616961
10.896799997882237,10.659753607474334,80.69057937312307,96423.812028,96423.839584,0.976028586342105
10.912645203698778,10.676317049914106,80.56330788625449,96423.825362,96423.851443,0.9446652135780479
10.942711573576739,10.713395291507627,80.70189840587152,96423.838695,96423.863484,0.9841420173008071
10.952153599999638,10.755688487114533,80.73882997722664,96423.852028,96423.878975,0.9870964951262583
10.953169843602915,10.79538040895624,80.73732805478679,96423.865362,96423.893255,0.94441233057118
10.962881403165234,10.85606983698925,80.75300707515176,96423.878695,96423.903415,0.9777765148734973
10.962024537788706,10.878924167236606,80.60668966446435,96423.892029,96423.917711,0.9835855987077328
10.980693028581895,10.958431243948214,80.72668251108156,96423.905362,96423.930654,0.9783528747318853
10.989191746542302,11.004934959079153,80.72808785038426,96423.918695,96423.943725,0.908597122781248
10.98496802380027,11.05021665014024,80.65330676767752,96423.932028,96423.9574,0.9590337371073515
10.99397087573048,11.110545871345616,80.70898334169291,96423.945362,96423.970195,0.9319982215891505
10.994242450805798,11.188572378726608,80.7237742672058,96423.958695,96423.983806,0.9599221349470002
10.987682025609693,11.252531733759369,80.65312062754414,96423.972028,96424.002305,0.9605874430733539
10.985654615733987,11.321602001330678,80.59116836423239,96423.985361,96424.009796,0.9550899474486417
10.995292177671692,11.40021738991419,80.68085922663407,96423.998695,96424.022979,0.9013965358550636
10.990517488227233,11.444999775107076,80.55235507273487,96424.012028,96424.035914,0.9735223914281932
10.998744056732031,11.486416785289505,80.52867085174681,96424.025362,96424.049649,0.9275920256572153
11.000884577096885,11.538970164818586,80.46597246028024,96424.038695,96424.063156,0.934857239858577
11.011460828784124,11.60609185817297,80.54409904606058,96424.052028,96424.078033,0.952783641678518
11.02544979419864,11.662506635144249,80.50307388246414,96424.065361,96424.088909,0.9747051557216944
11.026692731259304,11.720911928527029,80.3987768329394,96424.078695,96424.104565,0.9910635461477879
11.046948281199128,11.786068751283706,80.38378443214005,96424.092028,96424.117545,0.9408820558948071
11.04325406404573,11.836657091984343,80.23697512772053,96424.105361,96424.129443,0.947040101498808
11.059986652954299,11.91977937958762,80.29387215147632,96424.118695,96424.143045,1.0
11.05479497915704,11.985273356630659,80.20535837851229,96424.132028,96424.156541,0.9864846677553467
11.051870333339089,12.02851699506604,80.05136569709465,96424.145361,96424.169311,0.9596550720291307
11.075904517775303,12.120921169094858,80.10483284012575,96424.158695,96424.182401,0.9543855138740698
11.095538013911963,12.205486253236227,79.99815338878554,96424.172028,96424.197946,0.9506176585031341
11.097401704288371,12.288631897921412,79.88854858100854,96424.185361,96424.209583,0.9920342352560936
11.125035329929693,12.38767530495412,79.86420296545015,96424.198694,96424.225254,0.8823578138010333
11.127385557158116,12.473268761388036,79.70385977292544,96424.212028,96424.23569,0.8801086363555835
11.143114213849941,12.60024681091114,79.68474953048573,96424.225362,96424.251106,0.9646334628494279
11.152586230986111,12.726495978243618,79.6391097756693,96424.238694,96424.264371,0.8844136385373178
11.175997636343192,12.881828467423984,79.6496978941151,96424.252028,96424.275751,0.9812815037150027
11.183284079557685,13.012681808830191,79.47893896431997,96424.265361,96424.289614,0.8873968482713157
11.197577190374743,13.16468061051615,79.37727478998582,96424.278694,96424.303536,0.9044770740932995
11.213573414486195,13.318401262360272,79.30828634470332,96424.292028,96424.316628,0.9900849114149687
11.234568316265001,13.451458232226814,79.19672340893054,96424.305361,96424.329351,0.9844918804784117
11.252218845745046,13.599891504018284,79.08436958399473,96424.318694,96424.343098,0.9761795726090772
11.266473067204656,13.729316914400853,78.96361238613103,96424.332028,96424.357177,0.9728142330947681
11.293937046866324,13.886969198463133,78.95557641538386,96424.345361,96424.36963,0.9711571586145575
11.31620143407236,14.014877431090774,78.80837937460029,96424.358695,96424.38253,0.9623251810966982
11.326690600395327,14.132974952096799,78.61414282100029,96424.372028,96424.398627,0.9968527728509227
11.352974833667046,14.28305289937964,78.47712680150019,96424.385361,96424.409125,0.9909476425369065
11.390466244057853,14.420459889095769,78.38492364102207,96424.398694,96424.423455,0.9772433268806641
11.41049128536038,14.544481220521853,78.22667446289178,96424.412028,96424.43574,0.9470941167984203
11.436278603024432,14.665744442598621,78.05680434701009,96424.425361,96424.449559,0.9462828685095559
11.458796770667332,14.788574487562846,77.910343264179,96424.438694,96424.463189,0.9044241198662845
11.465356864284582,14.908580753277466,77.63569709943737,96424.452027,96424.476333,0.9732352223742099
11.495461341638462,15.06441511560939,77.54302289448567,96424.465361,96424.489743,0.9369733884247047
11.526115640629232,15.198902716554517,77.35982571108403,96424.478694,96424.502901,0.9718607379409399
11.559894573545165,15.338857311120236,77.18861140100618,96424.492028,96424.51727,0.9825702058121328
11.573126409487644,15.449908749415586,76.96424022803878,96424.505361,96424.530796,0.8949857817055472
11.580646428219099,15.571519849986036,76.73933322215495,96424.518694,96424.542241,0.9061024803274993
11.606325930272451,15.723582806727762,76.62967062999161,96424.532027,96424.557169,0.9994574457045231
11.629593620762837,15.852666444364912,76.43092545754263,96424.545361,96424.569071,0.9799102950659511
11.635475359361719,15.989053253332631,76.18968409625425,96424.558694,96424.582355,0.9960224019641614
11.673003793428238,16.156872283041366,76.07940655285826,96424.572027,96424.596646,0.9962750155660635
11.691683310875662,16.29146549205557,75.82428979133188,96424.585361,96424.608869,0.9487873243154817
11.72931808300074,16.4424060633551,75.72458189351306,96424.598694,96424.622893,0.9940387981861815
11.769836047614008,16.581742162041458,75.56594971661544,96424.612027,96424.636049,0.9931738001821955
11.814248064045378,16.716490751142707,75.39236436813732,96424.625361,96424.65077,0.924207942143472
11.862196484604826,16.85362192698327,75.213411215169,96424.638694,96424.664257,0.9747393937037446
11.911845053353694,17.0179074717487,75.09013526201413,96424.652027,96424.676308,0.9434902589585725
11.977365251618656,17.191657284292397,75.03236624452337,96424.66536,96424.695844,0.9328144811371355
12.015383019396047,17.335764292671765,74.79763958633013,96424.678694,96424.702586,0.9741651199284839
12.067372428381802,17.505853165843277,74.71719255805392,96424.692027,96424.715609,0.9644323544677147
12.110708596871397,17.6482216278208,74.51151650224865,96424.70536,96424.729943,0.9817966458060551
12.161336293744553,17.81863032306687,74.42538551406163,96424.718694,96424.742239,0.9924100392641109
12.216727637182355,17.97470230147648,74.33065394609957,96424.732027,96424.757992,0.9559302137501285
12.260502791908033,18.12741055687959,74.22917016464164,96424.74536,96424.769436,0.9781111195982498
12.295296690191533,18.269469385808392,74.06986178459906,96424.758694,96424.783368,0.9961811560118137
12.347594922427506,18.442912514445307,74.05293451890947,96424.772027,96424.802459,0.9796044714857162
12.377253915497855,18.565246071076892,73.8551763130428,96424.78536,96424.809689,0.9941749866551287
12.40803883369748,18.710622400511237,73.73867054906091,96424.798694,96424.822977,0.9397769666301432
12.453953916572008,18.873961873437043,73.76048817496034,96424.812027,96424.83591,0.9936281667266752
12.472751912509702,18.979896869868966,73.52359135348985,96424.825361,96424.85054,0.9712426230928781
12.501715846420812,19.125436406297588,73.49737220143237,96424.838694,96424.863692,0.9987223447929625
12.5128481110168,19.22919801146115,73.34389805060299,96424.852027,96424.879213,0.9317683466272775
12.532001006895793,19.375723649299232,73.30393715107125,96424.86536,96424.890062,0.9812586690502151
12.536329372151066,19.458119534355706,73.11050903840413,96424.878693,96424.90285,0.9797403392674535
12.540502986547851,19.557214823426754,72.96227345008069,96424.892027,96424.916019,0.9739108614241426
12.555274269481467,19.663991869619206,72.86710400100165,96424.90536,96424.930242,0.9903035728228134
12.57020349930201,19.762984263956966,72.72426782760894,96424.918693,96424.942516,0.9516722074128601
12.58003872498581,19.857530878112048,72.60868317155638,96424.932027,96424.957084,0.9131809391683112
12.571048220215362,19.92471673818983,72.40096071812432,96424.94536,96424.969705,0.9573119327418759
12.587997873092242,20.009349242124788,72.29532786264464,96424.958694,96424.98359,0.9683489191689953
12.598240979533506,20.075324160118452,72.16047438915712,96424.972027,96424.997409,0.9676204164066061
12.605340845654409,20.11303719395184,71.98726472258778,96424.98536,96425.011134,0.8273692031285882
12.607239919924693,20.151196376632573,71.80343357442909,96424.998693,96425.023327,0.9628393686494765
12.611328536294597,20.174957886799312,71.60087166957534,96425.012027,96425.036255,0.9713127618600917
12.610944013907686,20.2124113359941,71.43128218776965,96425.02536,96425.049845,0.9743244188528513
12.603583379423556,20.26787100455018,71.30906284828544,96425.038693,96425.062621,0.987033051815509
12.572773257972424,20.27438266014624,71.00899803040762,96425.052026,96425.075816,0.9876054461625571
12.553672008986108,20.3103659388175,70.83343503199973,96425.06536,96425.090322,0.9809645231132804
12.531919203916702,20.32855436283802,70.61866819852115,96425.078693,96425.102429,0.9960551917089089
12.510892215926274,20.357160052241277,70.43863424599188,96425.092027,96425.116958,0.9826114092001649
12.484603801123935,20.373063935122072,70.2153394087935,96425.10536,96425.136399,0.9739613447433327
